,Question,Answers
0,will covid end soon ,"may 1st, i think, is completely unrealistic, said dr. ashish jha, director of the harvard global health institute. , probably for several months. but you might have to do it over and over again, since the outbreak could come in waves. "
1,who is at higher risk ,"older adults and people of any age who have serious underlying medical conditions may be at higher risk for more serious complications from covid., based on available evidence, children do not appear to be at higher risk for covid than adults. , the risk depends on where you are   and more specifically, whether there is a covid outbreak unfolding there. , we do not have information from published scientific reports about the susceptibility of pregnant women to covid. pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including covid. , smoking cigarettes can leave you more vulnerable to respiratory illnesses such as covid. smoking cigarettes is known to cause heart and lung disease and people with underlying heart and lung problems may have increased risk for serious complications from covid., e cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of covid or the severity of covid outcomes is not known., this is not a good time to be vaping or smoking anything. , younger people seem to be insulated to some extent to protect them from getting particularly sick., researchers do not have information from published scientific reports about susceptibility of pregnant women to this covid., based on available evidence, children do not appear to be at higher risk for covid than adults. , based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from covid. , its not known yet whether all of these children are at higher risk for severe illness from covid., most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from covid., those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response. , patients with underlying medical conditions and the elderly, smokers were 1.4 times more likely (rr1.4, 95% ci 0.98 2.00) to have severe symptoms of covid and approximately 2.4 times more likely to be admitted to an icu, need mechanical ventilation or die compared to non smokers (rr2.4, 95% ci 1.43 4.04), the risk depends on where you live or where you have travelled recently. the risk of infection is higher in areas where a number people have been diagnosed with covid. , while we are still learning about how covid 2019 affects people, older persons and persons with pre existing medical conditions (such as high blood pressure, heart disease, or diabetes) appear to develop serious illness more often than others."
2,does covid live on clothes ,"although the new covid weakens and dies over time outside of the human body, studies suggest that it can live on surfaces for a few hours or up to several days, depending on surface, temperature and other environmental factors., clean and disinfect frequently touched surfaces, such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets and sinks. , studies suggest that covides (including preliminary information on the covid virus) may persist on surfaces for a few hours or up to several days. this may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). , yes. the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. , i would suggest wiping down external surfaces of canned or wrapped foods, said dr. celine gounder, an infectious disease specialist at bellevue hospital center. , covid can stay alive for up to three days on stainless steel and plastic. but clothing is probably more like cardboard — its more absorbent, so the virus is unlikely to stay and last that long., no. the new covid cannot be transmitted through goods manufactured in china or any country reporting covid cases , viruses can live on surfaces and objects — including on money — although your chance of actually getting covid from cash is probably very low., up to three days, depending on the surface. , although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. , yes. the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid from a package that has been moved, travelled, and exposed to different conditions and temperature is also low., it is not certain how long the virus that causes covid survives on surfaces, but it seems to behave like other covides. studies suggest that covides (including preliminary information on the covid virus) may persist on surfaces for a few hours or up to several days."
3,what covid means ,"corona means crown, and covides have a crown of protruding points on their surface that give them a characteristic appearance when seen under a microscope. covides are a whole family of viruses; there are many.,  covid is a new disease, caused by a novel (or new) covid not previously seen in humans., covid disease 2019 (covid) is a respiratory illness that can spread from person to person. , the new name of this disease is covid disease 2019, abbreviated as covid. in covid, co stands for corona, vi for virus, and d for disease. formerly, this disease was referred to as 2019 novel covid or 2019 ncov. ,  as covid disease discovered in 2019 (covid), severe acute respiratory syndrome covid 2 , covid is the infectious disease caused by the most recently discovered covid. this new virus and disease were unknown before the outbreak began in wuhan, china, in december 201"
4,why covid is worse in us ,experts say its due to cuts in federal funding for public health and problems with early testing.
5,can covid survive in heat ,"several countries currently affected by the new covid outbreak are experiencing summer weather., it is not known yet if weather and temperature changes impact or has any connection with covid. at this time, it is not clear or known if the spread of covid will decrease when the weather becomes warmer. , generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, , hand dryers cant kill the virus., generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments."
6,can covid be transmitted through food ,"according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging., currently there is no evidence of food or food packaging being associated with transmission of covid. , there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. , currently, there is no evidence of food or food packaging being associated with transmission of covid. ,  currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. , there are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock., theres no evidence that covid can be transmitted through food., based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. , currently, there is no evidence to support transmission of covid associated with food. "
7,where covid originated ,"early on, many of the patients at the epicenter of the covid outbreak in china had some link to a large seafood and live animal market, suggesting animal to person spread., wuhan city, china"
8,can people who recover from covid be infected again ,"its too early to know for sure. , at this time, we are not sure if you can become re infected. "
9,how covid spreads ," human covides typically spread through the air by coughing and sneezing., it primarily spreads between people through respiratory droplets, like through coughs, sneezes, spittle. , the virus that causes covid is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. ,  from person to person,, person to person, close contact with an infected person, covid was transmitted through respiratory tract and then induced pneumonia,, we found the presence of covid in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral fecal route., people can catch covid from others who have the virus. the disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid coughs or exhales. these droplets land on objects and surfaces around the person. other people then catch covid by touching these objects or surfaces, then touching their eyes, nose or mouth. people can also catch covid if they breathe in droplets from a person with covid who coughs out or exhales droplets."
